Date,Time,Location,Weather,Crab Trap or Pitfall Trap,Species,Carapace Length (mm),Shell Length,Worm Length
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Cancer productus,23,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Hemigrapsus nudus,21,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus gracilis,78,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus gracilis,45,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus magister,48,-,-
6/14/2024,12:00 PM,Castro Cove,Sunny,Crab Trap,Metacarcinus magister,39,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Metacarcinus gracilis,56,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Cancer productus,78,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Hemigrapsus nudus,18,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Metacarcinus magister,38,-,-
6/14/2024,1:00 PM,Point San Pablo,Sunny,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,41,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,43,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Leptocottus armatus,-,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus gracilis,23,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,45,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,47,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus gracilis,40,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Metacarcinus magister,4,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Pachygrapsus crassipes,32,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Hemigrapsus nudus,23,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Crab Trap,Cancer productus,101,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,45,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Gemma gemma,-,6,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus nudus,11,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Gemma gemma,-,3,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus nudus,15,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,53,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus oregonensis,16,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,67,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Hemigrapsus oregonensis,17,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Pachygrapsus crassipes,28,-,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Ostrea lurida,-,61,-
6/14/2024,3:00 PM,Richardson Bay,Foggy,Pitfall Trap,Sipuncula spp.,-,-,142
